,id,gericht,urteilsdatum,fall_nr,url_link,verfahrensart,geschlecht,nationalitaet,hauptdelikt,mehrfach,gewerbsmaessig,bandenmaessig,deliktssumme,nebenverurteilungsscore,vorbestraft,vorbestraft_einschlaegig,freiheitsstrafe_in_monaten,vollzug
10,179,Bezirksgericht Uster,2013-01-24,SB130181,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB130181-O2.pdf,0,männlich,Ausländerin/Ausländer,Diebstahl,True,False,False,28222,4,False,False,6,0
11,151,Bezirksgericht Bülach,2013-09-04,SB130436,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB130436-O1.pdf,0,männlich,unbekannt,Veruntreuung,False,False,False,110000,2,False,False,9,0
12,186,Bezirksgericht Zürich,2014-04-04,SB140214,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB140214-O1.pdf,0,männlich,unbekannt,Veruntreuung,True,False,False,6000000,3,True,False,42,2
13,113,Bezirksgericht Uster,2014-05-15,SB140409,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB140409-O1.pdf,0,männlich,unbekannt,betr. Missbrauch DVA,False,True,False,299999,0,False,False,24,0
14,188,Bezirksgericht Zürich,2014-05-22,SB140292,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB140292-O1.pdf,0,männlich,unbekannt,ung. Geschäftsbesorgung,False,False,False,100000,0,False,False,15,0
15,46,Bezirksgericht Bülach,2014-09-18,SB160422,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB160422-O1.pdf,0,männlich,unbekannt,ung. Geschäftsbesorgung,False,False,False,139000,0,True,False,16,0
16,63,Bezirksgericht Zürich,2014-12-02,SB150048,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB150048-O1.pdf,0,männlich,unbekannt,betr. Missbrauch DVA,False,True,False,435459,3,True,True,48,2
17,162,Bezirksgericht Winterthur,2014-12-04,SB150164,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB150164-O1.pdf,0,männlich,unbekannt,ung. Geschäftsbesorgung,False,False,False,90000,0,True,False,10,2
18,97,Bezirksgericht Zürich,2014-12-16,SB150028,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB150028-O1.pdf,0,männlich,unbekannt,Betrug,False,False,False,806146,4,False,False,24,0
19,154,Bezirksgericht Winterthur,2015-01-20,SB150134,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB150134-O1.pdf,0,männlich,unbekannt,ung. Geschäftsbesorgung,False,False,False,19038,1,False,False,5,0
20,47,Bezirksgericht Zürich,2015-04-01,SB150207,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB150207-O1.pdf,0,männlich,unbekannt,ung. Geschäftsbesorgung,True,False,False,362000,2,False,False,14,0
21,150,Bezirksgericht Zürich,2015-06-09,SB150299,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB150299-O1.pdf,0,männlich,unbekannt,Veruntreuung,True,False,False,377400,0,False,False,12,0
